address,rent,link,beds,baths,sqft
1692 Oriole Dr,2800,https://realtor.com/rentals/details/1692-Oriole-Dr_Blacksburg_VA_24060_M53722-29083,3,2.5,2300
414 Stonegate Dr,2500,https://realtor.com/rentals/details/414-Stonegate-Dr_Blacksburg_VA_24060_M57443-03625,5,3.0,2465
209 Wharton St SE,2000,https://realtor.com/rentals/details/209-Wharton-St-SE_Blacksburg_VA_24060_M60860-20946,3,2.0,1570
323 Shenandoah Cir,1575,https://realtor.com/rentals/details/323-Shenandoah-Cir_Blacksburg_VA_24060_M69984-14388,3,2.5,1364
1818 Brooksfield Rd,1500,https://realtor.com/rentals/details/1818-Brooksfield-Rd_Blacksburg_VA_24060_M52693-49188,3,2.0,672
904 Kentwood Dr,3200,https://realtor.com/rentals/details/904-Kentwood-Dr_Blacksburg_VA_24060_M60415-99942,4,4.0,2200
2025 Plank Dr,2995,https://realtor.com/rentals/details/2025-Plank-Dr_Blacksburg_VA_24060_M50024-50508,4,3.5,3853
2417 Ridge Rd,1795,https://realtor.com/rentals/details/2417-Ridge-Rd_Blacksburg_VA_24060_M68237-86181,3,2.5,1780
307 Shenandoah Cir,1775,https://realtor.com/rentals/details/307-Shenandoah-Cir_Blacksburg_VA_24060_M50040-78837,3,2.5,1364
1710 Emerald St,1800,https://realtor.com/rentals/details/1710-Emerald-St_Blacksburg_VA_24060_M66697-28775,3,2.5,1316
1716 Donlee Dr,1800,https://realtor.com/rentals/details/1716-Donlee-Dr_Blacksburg_VA_24060_M50697-90066,3,2.0,1400
1400 Seneca Dr Apt C,1750,https://realtor.com/rentals/details/1400-Seneca-Dr-Apt-C_Blacksburg_VA_24060_M99852-72460,4,2.0,967
841 Claytor Sq,1775,https://realtor.com/rentals/details/841-Claytor-Sq_Blacksburg_VA_24060_M66920-88340,3,2.0,885
2824 Wellesley Ct,1900,https://realtor.com/rentals/details/2824-Wellesley-Ct_Blacksburg_VA_24060_M62953-55117,4,3.0,1800
307 Heartwood Xing,2440,https://realtor.com/rentals/details/307-Heartwood-Xing_Blacksburg_VA_24060_M57211-50103,4,3.0,2045
174 Clover Valley Cir,1950,https://realtor.com/rentals/details/174-Clover-Valley-Cir_Blacksburg_VA_24060_M68168-91982,4,2.5,1480
2512 Manchester St,2200,https://realtor.com/rentals/details/2512-Manchester-St_Blacksburg_VA_24060_M69443-15612,4,2.0,1989
802 Summit Dr,2050,https://realtor.com/rentals/details/802-Summit-Dr_Blacksburg_VA_24060_M69870-22382,4,2.0,1790
402 Laurence Ln,2100,https://realtor.com/rentals/details/402-Laurence-Ln_Blacksburg_VA_24060_M53076-09939,4,2.5,1512
103 Huntington Ln,2100,https://realtor.com/rentals/details/103-Huntington-Ln_Blacksburg_VA_24060_M69886-24817,3,3.5,1820
1702 Gardenspring Dr,2150,https://realtor.com/rentals/details/1702-Gardenspring-Dr_Blacksburg_VA_24060_M60644-56989,3,2.5,1452
228 MT Breeze Rd,2200,https://realtor.com/rentals/details/228-MT-Breeze-Rd_Blacksburg_VA_24060_M99010-30566,3,3.0,1840
306 Woodbine Dr,2350,https://realtor.com/rentals/details/306-Woodbine-Dr_Blacksburg_VA_24060_M50696-41002,5,3.0,2358
1203 University Ter Apt G,1935,https://realtor.com/rentals/details/1203-University-Ter-Apt-G_Blacksburg_VA_24060_M58875-37828,4,2.0,935
1211 University Ter Apt K,2000,https://realtor.com/rentals/details/1211-University-Ter-Apt-K_Blacksburg_VA_24060_M54487-97326,4,2.0,1071
1207 University Ter Apt H,1975,https://realtor.com/rentals/details/1207-University-Ter-Apt-H_Blacksburg_VA_24060_M54495-05379,4,2.0,1071
402 Berryfield Ln Apt L,1950,https://realtor.com/rentals/details/402-Berryfield-Ln-Apt-L_Blacksburg_VA_24060_M68519-96500,3,2.0,1061
402 Berryfield Ln Apt B,2200,https://realtor.com/rentals/details/402-Berryfield-Ln-Apt-B_Blacksburg_VA_24060_M68511-39383,4,2.0,1166
512 Sunrise Dr,2150,https://realtor.com/rentals/details/512-Sunrise-Dr_Blacksburg_VA_24060_M55398-51292,3,2.5,1392
401 Berryfield Ln Apt M,2200,https://realtor.com/rentals/details/401-Berryfield-Ln-Apt-M_Blacksburg_VA_24060_M68492-38820,3,2.0,1061
206 Minor Cir,2250,https://realtor.com/rentals/details/206-Minor-Cir_Blacksburg_VA_24060_M69501-17726,3,2.0,1337
1102 Mourning Dove Dr,2495,https://realtor.com/rentals/details/1102-Mourning-Dove-Dr_Blacksburg_VA_24060_M67543-75689,3,2.0,2348
2003 Linwood Ln,3150,https://realtor.com/rentals/details/2003-Linwood-Ln_Blacksburg_VA_24060_M51822-95946,4,3.5,2394
1189 Merrimac Rd,1860,https://realtor.com/rentals/details/1189-Merrimac-Rd_Blacksburg_VA_24060_M55363-22400,3,2.0,1280
924 McBryde Ln,2700,https://realtor.com/rentals/details/924-McBryde-Ln_Blacksburg_VA_24060_M69118-25182,5,3.0,2726
